"25CM - 8905"
#,SPEED (FPS),Δ AVG (FPS),KE (FT-LB),POWER FACTOR (KGR⋅FT/S),TIME,CLEAN BORE,COLD BORE,SHOT NOTES
1, 2794.6, -11.3, , , 12:01:58 PM, , , 
2, 2801.2, -4.8, , , 12:02:29 PM, , , 
3, 2809.0, 3.1, , , 12:02:52 PM, , , 
4, 2798.0, -7.9, , , 12:03:54 PM, , , 
5, 2799.6, -6.3, , , 12:06:48 PM, , , 
6, 2799.8, -6.2, , , 12:07:37 PM, , , 
7, 2778.2, -27.7, , , 12:08:19 PM, , , 
8, 2814.1, 8.2, , , 12:15:39 PM, , , 
9, 2788.2, -17.7, , , 12:16:43 PM, , , 
10, 2809.2, 3.3, , , 12:18:19 PM, , , 
11, 2803.7, -2.2, , , 12:19:38 PM, , , 
12, 2837.7, 31.8, , , 12:20:55 PM, , , 
13, 2790.5, -15.4, , , 12:24:23 PM, , , 
14, 2811.1, 5.2, , , 12:24:28 PM, , , 
15, 2809.2, 3.2, , , 12:24:34 PM, , , 
16, 2807.3, 1.4, , , 12:28:39 PM, , , 
17, 2820.3, 14.4, , , 12:29:50 PM, , , 
18, 2834.8, 28.9, , , 12:32:42 PM, , , 

-,,,,,,

AVERAGE SPEED,2805.9,,,,,,,
STD DEV,14.5,,,,,,,
SPREAD,59.5,,,,,,,



SESSION NOTE,"",,,,,,,

-,,,,,,

DATE, "May 24, 2026 at 11:55 AM",,,,,
All shots included in the calculations,,,,,,,﻿
